Dimensions,HMS,HMCR,PAR,BW,MaxIter,ExecutionTime(s),Cores,Seed,BestFitness,ExecutionType
35,1000,0.9,0.3,0.01,10000000,73.5983,2,42,1533.62,MPI
35,1000,0.9,0.3,0.01,10000000,79.2594,2,42,1533.62,MPI
35,1000,0.9,0.3,0.01,10000000,80.4778,2,42,1533.62,MPI
35,1000,0.9,0.3,0.01,10000000,36.0708,4,42,202.198,MPI
35,1000,0.9,0.3,0.01,10000000,82.6812,2,42,1533.62,MPI
35,1000,0.9,0.3,0.01,10000000,19.0381,8,42,32.2518,MPI
35,1000,0.9,0.3,0.01,10000000,39.1188,4,42,202.198,MPI
35,1000,0.9,0.3,0.01,10000000,39.8346,4,42,202.198,MPI
35,1000,0.9,0.3,0.01,10000000,11.2183,16,42,32.7823,MPI
35,1000,0.9,0.3,0.01,10000000,40.4681,4,42,202.198,MPI
35,1000,0.9,0.3,0.01,10000000,19.9184,8,42,32.2518,MPI
35,1000,0.9,0.3,0.01,10000000,20.0715,8,42,32.2518,MPI
35,1000,0.9,0.3,0.01,10000000,13.5182,32,42,250.249,MPI
35,1000,0.9,0.3,0.01,10000000,11.1459,16,42,32.7823,MPI
35,1000,0.9,0.3,0.01,10000000,11.3431,16,42,32.7823,MPI
35,1000,0.9,0.3,0.01,10000000,95.3793,2,42,1533.62,MPI
35,1000,0.9,0.3,0.01,10000000,20.3697,8,42,32.2518,MPI
35,1000,0.9,0.3,0.01,10000000,10.0143,32,42,250.249,MPI
35,1000,0.9,0.3,0.01,10000000,10.2033,32,42,250.249,MPI
35,1000,0.9,0.3,0.01,10000000,11.4789,16,42,32.7823,MPI
35,1000,0.9,0.3,0.01,10000000,11.2715,32,42,250.249,MPI
35,1000,0.9,0.3,0.01,10000000,21.0711,64,42,4720.19,MPI
35,1000,0.9,0.3,0.01,10000000,49.053,64,42,4720.19,MPI
35,1000,0.9,0.3,0.01,10000000,27.8827,64,42,4720.19,MPI
35,1000,0.9,0.3,0.01,10000000,47.0423,4,42,202.198,MPI
35,1000,0.9,0.3,0.01,10000000,32.5706,64,42,4720.19,MPI
35,1000,0.9,0.3,0.01,10000000,25.2467,8,42,32.2518,MPI
35,1000,0.9,0.3,0.01,10000000,13.87,16,42,32.7823,MPI
35,1000,0.9,0.3,0.01,10000000,20.4289,32,42,250.249,MPI
4,1000,0.9,0.3,0.01,100000000,268.456,1,42,2.00027e-05,Sequential
4,1000,0.9,0.3,0.01,100000000,267.456,1,42,2.00027e-05,Sequential
4,1000,0.9,0.3,0.01,100000000,282.086,1,42,2.00027e-05,Sequential
4,1000,0.9,0.3,0.01,100000000,282.215,1,42,2.00027e-05,Sequential
4,1000,0.9,0.3,0.01,100000000,282.329,1,42,2.00027e-05,Sequential
35,1000,0.9,0.3,0.01,10000000,56.467,64,42,4720.19,MPI
8,1000,0.9,0.3,0.01,100000000,341.775,1,42,0.00712549,Sequential
8,1000,0.9,0.3,0.01,100000000,342.007,1,42,0.00712549,Sequential
8,1000,0.9,0.3,0.01,100000000,350.524,1,42,0.00712549,Sequential
8,1000,0.9,0.3,0.01,100000000,350.887,1,42,0.00712549,Sequential
8,1000,0.9,0.3,0.01,100000000,350.717,1,42,0.00712549,Sequential
16,1000,0.9,0.3,0.01,100000000,617.309,1,42,0.208938,Sequential
16,1000,0.9,0.3,0.01,100000000,662.681,1,42,0.208938,Sequential
16,1000,0.9,0.3,0.01,100000000,668.386,1,42,0.208938,Sequential
16,1000,0.9,0.3,0.01,100000000,668.412,1,42,0.208938,Sequential
16,1000,0.9,0.3,0.01,100000000,670.466,1,42,0.208938,Sequential
4,1000,0.9,0.3,0.01,100000000,468.289,1,42,2.00027e-05,MPI
4,1000,0.9,0.3,0.01,100000000,469.153,1,42,2.00027e-05,MPI
8,1000,0.9,0.3,0.01,100000000,381.605,1,42,0.00712549,MPI
8,1000,0.9,0.3,0.01,100000000,381.568,1,42,0.00712549,MPI
4,1000,0.9,0.3,0.01,100000000,482.292,1,42,2.00027e-05,MPI
4,1000,0.9,0.3,0.01,100000000,482.574,1,42,2.00027e-05,MPI
4,1000,0.9,0.3,0.01,100000000,482.887,1,42,2.00027e-05,MPI
8,1000,0.9,0.3,0.01,100000000,389.771,1,42,0.00712549,MPI
8,1000,0.9,0.3,0.01,100000000,389.839,1,42,0.00712549,MPI
8,1000,0.9,0.3,0.01,100000000,389.884,1,42,0.00712549,MPI
4,1000,0.9,0.3,0.01,100000000,85.3204,2,42,0.336159,MPI
